Number,Title,Author,Genre,SubGenre,Publisher,Date
107,"Phantom of Manhattan, The","Forsyth, Frederick",fiction,classic,Penguin,12/07/2022
108,Ashenden of The British Agent,"Maugham, William S",fiction,classic,Vintage,12/07/2022
109,Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,autobiography,Vintage,12/07/2022
110,"Great War for Civilization, The","Fisk, Robert",nonfiction,history,HarperCollins,12/07/2022
111,We the Living,"Rand, Ayn",fiction,novel,Penguin,12/07/2022
112,"Artist and the Mathematician, The","Aczel, Amir",science,mathematics,HighStakes,12/07/2022
113,History of Western Philosophy,"Russell, Bertrand",philosophy,philosophy,Routledge,12/07/2022
114,Selected Short Stories,,fiction,classic,Jaico,12/07/2022
115,Rationality & Freedom,"Sen, Amartya",science,economics,Springer,12/07/2022
116,Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history,Simon&Schuster,12/07/2022
117,Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology,Fontana,12/07/2022
118,One,"Bach, Richard",nonfiction,autobiography,Dell,12/07/2022
119,Karl Marx Biography,"Marx, Karl",nonfiction,autobiography,Penguin,12/07/2022
120,To Sir With Love,Braithwaite,fiction,classic,Penguin,12/07/2022
